match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
3900496,2015-10-31,Ligue 1,2015/2016,Toulouse,Montpellier,1,1,0.06655334620867132,-0.43794187396404943,0.5044952201727207,home,Toulouse,False,0.692970043,0.399289822
3754082,2015-11-01,Premier League,2015/2016,Everton,Sunderland,6,2,-0.9532660320123876,-0.41700272934630955,-0.536263302666078,away,Sunderland,False,2.205054852,1.781054326
3825648,2015-11-01,La Liga,2015/2016,Eibar,Rayo Vallecano,1,0,-1.1460357265759595,-0.2482274955169255,-0.8978082310590341,away,Rayo Vallecano,False,1.4226592466,0.43420515000000004
3879599,2015-11-01,Serie A,2015/2016,Lazio,AC Milan,1,3,-0.21864856992177498,0.2827080400644265,-0.5013566099862015,away,AC Milan,True,0.5356857676,1.8822977497
3879600,2015-11-01,Serie A,2015/2016,Carpi,Hellas Verona,0,0,-0.26246859708797604,-0.8229897886271428,0.5605211915391668,home,Carpi,False,0.984996469,0.6309234870000001
3890356,2015-11-01,1. Bundesliga,2015/2016,Hamburger SV,Hannover 96,1,2,-0.8410377009755553,-0.4109058694270238,-0.4301318315485315,away,Hannover 96,True,2.597576206,0.9391483655
3890357,2015-11-01,1. Bundesliga,2015/2016,VfB Stuttgart,Darmstadt 98,2,0,0.26184252196719937,-0.6975867873709595,0.9594293093381588,home,VfB Stuttgart,True,2.1511103769999997,1.2735283734
3900497,2015-11-01,Ligue 1,2015/2016,OGC Nice,Lille,0,0,0.11696177402924954,-0.360944766638189,0.47790654066743854,home,OGC Nice,False,1.1550745086999998,0.508481303
3900498,2015-11-01,Ligue 1,2015/2016,AS Monaco,Angers,1,0,0.36756667130258824,-0.46033643757335374,0.827903108875942,home,AS Monaco,True,2.2273653040000005,0.7621137345
3900499,2015-11-01,Ligue 1,2015/2016,Nantes,Marseille,0,1,-0.4032309997549782,0.3249374330934711,-0.7281684328484493,away,Marseille,True,0.8380175000000001,0.9717726289999999
3879605,2015-11-02,Serie A,2015/2016,Palermo,Empoli,0,1,0.09751570282999653,-0.43168904534736313,0.5292047481773596,home,Palermo,False,0.8635525284000002,0.9488455558
3879606,2015-11-02,Serie A,2015/2016,Chievo,Sampdoria,1,1,-0.6159852108124673,0.0819230875879366,-0.6979082984004039,away,Sampdoria,False,1.1778990733999999,1.074110966
3829522,2015-11-04,Ligue 1,2015/2016,OGC Nice,Nantes,1,2,0.09023800599050241,-0.40680304857683985,0.49704105456734227,home,OGC Nice,False,1.3780842269999998,2.15791537
3754000,2015-11-07,Premier League,2015/2016,Sunderland,Southampton,0,1,-0.14162145616607263,-0.7227944256764323,0.5811729695103596,home,Sunderland,False,0.555141903,1.7965055407
3754156,2015-11-07,Premier League,2015/2016,Leicester City,Watford,2,1,0.24848279785261934,-0.502062868992568,0.7505456668451873,home,Leicester City,True,1.8631559699999998,1.0758956769999999
3754293,2015-11-07,Premier League,2015/2016,Stoke City,Chelsea,1,0,-0.7970479797705694,-0.054031881097433565,-0.7430160986731358,away,Chelsea,False,0.7469116069999999,0.8532972240000001
3754311,2015-11-07,Premier League,2015/2016,Norwich City,Swansea City,1,0,0.12831550152027413,-0.6821272153734487,0.8104427168937228,home,Norwich City,True,1.0955278426,0.4882892185
3825655,2015-11-07,La Liga,2015/2016,Rayo Vallecano,Granada,2,1,-0.698012564347128,-1.106209735557177,0.40819717121004895,home,Rayo Vallecano,True,1.065375505,0.607323734
3825656,2015-11-07,La Liga,2015/2016,Levante UD,RC Deportivo La Coruña,1,1,-0.6345820848024529,-1.279570541243743,0.6449884564412901,home,Levante UD,False,1.5299212479999997,0.5639216387000001
3825657,2015-11-07,La Liga,2015/2016,Málaga,Real Betis,0,1,-1.2581392290454365,-0.7952411125054349,-0.46289811654000157,away,Real Betis,True,0.805335932,0.792894923
3879607,2015-11-07,Serie A,2015/2016,AC Milan,Atalanta,0,0,0.2408825219794707,-0.19386331392378803,0.4347458359032587,home,AC Milan,False,0.433733465,1.2532948080000001
3890361,2015-11-07,1. Bundesliga,2015/2016,FSV Mainz 05,Wolfsburg,2,0,0.5216012411231241,-0.6059510220372623,1.1275522631603865,home,FSV Mainz 05,True,1.4155778356000002,0.231337605
