date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-11-21,BetBoom Streamers Battle 8,70075,2,145699,Stray Team,Stariy bog Team,Bounty Hunter|Storm Spirit|Tusk|Templar Assassin|Clockwerk,Doom|Zeus|Bristleback|Spirit Breaker|Invoker,Stray Team,22.97,Stray Team,1.63,2.15
2024-11-21,1win Series Fall,70048,1,145574,Team Spirit,Gaimin Gladiators,Primal Beast|Chen|Sniper|Batrider|Alchemist,Phoenix|Storm Spirit|Tusk|Tinker|Meepo,Team Spirit,-20.60,Gaimin Gladiators,1.87,1.87
2024-11-21,European Pro League S21,69677,1,145658,Nightshade Esports,Dragon Esports Club,Snapfire|Mars|Storm Spirit|Pugna|Drow Ranger,Phoenix|Ember Spirit|Morphling|Magnus|Nyx Assassin,Dragon Esports Club,-19.79,Dragon Esports Club,2.80,1.38
2024-11-21,CCT Series 5,70071,2,145667,AVULUS,Passion UA,Broodmother|Earthshaker|Primal Beast|Phoenix|Batrider,Hoodwink|Visage|Puck|Bristleback|Drow Ranger,Passion UA,15.41,AVULUS,1.21,4.12
2024-11-21,CCT Series 5,70071,3,145677,AVULUS,Passion UA,Dawnbreaker|Shadow Fiend|Invoker|Batrider|Elder Titan,Hoodwink|Alchemist|Bristleback|Void Spirit|Lion,Passion UA,-23.65,Passion UA,1.26,3.59
2024-11-21,European Pro League S21,70036,2,145646,One Move,Nightshade Esports,Doom|Naga Siren|Muerta|Puck|Broodmother,Enchantress|Tusk|Invoker|Slardar|Shadow Fiend,One Move,19.78,One Move,1.10,5.38
2024-11-21,CCT Series 5,70070,2,145642,MOUZ,NAVI Junior,Earth Spirit|Dazzle|Enchantress|Clockwerk|Dragon Knight,Bristleback|Shadow Demon|Viper|Meepo|Lion,MOUZ,-27.41,NAVI Junior,1.67,2.13
2024-11-21,CCT Series 5,70070,3,145649,MOUZ,NAVI Junior,Earth Spirit|Dark Willow|Lich|Terrorblade|Mars,Tiny|Razor|Ogre Magi|Gyrocopter|Magnus,NAVI Junior,27.85,MOUZ,1.62,2.22
2024-11-22,European Pro League S21,70012,1,145531,DMS,Level Up,Underlord|Keeper of the Light|Muerta|Dragon Knight|Phoenix,Tiny|Snapfire|Alchemist|Dawnbreaker|Tusk,Level Up,24.52,DMS,1.85,1.89
2024-11-22,EPL World AM S14,70140,1,145789,GRIN Esports,FUSION,Shadow Fiend|Queen of Pain|Pugna|Broodmother|Ogre Magi,Morphling|Puck|Dawnbreaker|Tusk|Lion,FUSION,21.29,GRIN Esports,3.50,1.28
2024-11-22,European Pro League S21,70130,1,145787,9Pandas,Level Up,Bristleback|Ember Spirit|Vengeful Spirit|Batrider|Dragon Knight,Alchemist|Huskar|Pugna|Doom|Clockwerk,Level Up,-17.97,Level Up,1.44,2.66
2024-11-22,European Pro League S21,70130,2,145810,9Pandas,Level Up,Gyrocopter|Puck|Terrorblade|Elder Titan|Lion,Beastmaster|Templar Assassin|Invoker|Pugna|Tusk,9Pandas,36.96,9Pandas,1.41,2.76
2024-11-22,1win Series Fall,70097,2,145808,Team Liquid,Team Spirit,Lycan|Muerta|Templar Assassin|Earth Spirit|Ogre Magi,Invoker|Nyx Assassin|Pugna|Dark Seer|Medusa,Team Liquid,-29.29,Team Spirit,1.73,2.03
2024-11-22,1win Series Fall,70097,3,145816,Team Liquid,Team Spirit,Monkey King|Muerta|Invoker|Ogre Magi|Enigma,Tusk|Dark Willow|Earth Spirit|Shadow Fiend|Phoenix,Team Liquid,15.09,Team Liquid,1.72,2.00
2024-11-22,1win Series Fall,70098,2,145796,PARIVISION,Gaimin Gladiators,Chen|Storm Spirit|Phoenix|Razor|Tusk,Mirana|Doom|Pugna|Earth Spirit|Gyrocopter,Gaimin Gladiators,-34.68,Gaimin Gladiators,1.64,2.18
2024-11-22,CCT Series 5,70103,2,145793,AVULUS,DMS,Viper|Beastmaster|Alchemist|Shadow Shaman|Phoenix,Pugna|Bristleback|Dragon Knight|Lion|Earth Spirit,AVULUS,22.35,AVULUS,1.42,2.75
2024-11-22,European Pro League S21,70121,2,145772,Dragon Esports Club,Nemiga Gaming,Batrider|Clockwerk|Magnus|Puck|Monkey King,Riki|Ogre Magi|Dawnbreaker|Gyrocopter|Muerta,Dragon Esports Club,-18.10,Nemiga Gaming,1.50,2.34
2024-11-22,CCT Series 5,70104,1,145759,Passion UA,One Move,Pugna|Doom|Tusk|Terrorblade|Puck,Tinker|Medusa|Monkey King|Muerta|Alchemist,Passion UA,-24.67,One Move,2.26,1.59
2024-11-22,CCT Series 5,70104,2,145766,Passion UA,One Move,Hoodwink|Enchantress|Puck|Morphling|Dawnbreaker,Pangolier|Pugna|Night Stalker|Alchemist|Marci,One Move,-21.55,One Move,2.19,1.63
2024-11-22,Asian Dragon Series: Regional Collision,70087,2,145747,Manta Esports,Myth Avenue Gaming,Puck|Sand King|Chaos Knight|Batrider|Hoodwink,Bristleback|Shadow Fiend|Ogre Magi|Shadow Demon|Pangolier,Myth Avenue Gaming,17.56,Manta Esports,1.64,2.18
2024-11-23,CCT Series 5,70158,1,145918,Passion UA,NAVI Junior,Snapfire|Hoodwink|Juggernaut|Ember Spirit|Timbersaw,Invoker|Rubick|Mars|Dragon Knight|Phoenix,Passion UA,26.17,Passion UA,2.50,1.49
2024-11-23,CCT Series 5,70158,2,145921,Passion UA,NAVI Junior,Clockwerk|Morphling|Dark Willow|Invoker|Magnus,Phoenix|Puck|Shadow Shaman|Timbersaw|Dragon Knight,NAVI Junior,-19.54,NAVI Junior,2.46,1.51
2024-11-23,CCT Series 5,70157,1,145906,One Move,1win Team,Elder Titan|Night Stalker|Medusa|Pangolier|Marci,Anti-Mage|Ember Spirit|Muerta|Ogre Magi|Morphling,One Move,-20.65,1win Team,2.98,1.36
2024-11-24,EPL World AM S14,70224,1,146019,Qhali,Apex Genesis,Ember Spirit|Clockwerk|Phoenix|Batrider|Sven,Muerta|Ogre Magi|Dragon Knight|Enigma|Puck,Apex Genesis,-22.58,Apex Genesis,2.90,1.38
2024-11-24,European Pro League S21,70220,2,145999,9Pandas,Zero Tenacity,Tiny|Medusa|Pangolier|Dark Willow|Dawnbreaker,Lina|Tusk|Gyrocopter|Lion|Beastmaster,9Pandas,32.19,9Pandas,1.30,3.30
2024-11-24,Asian Dragon Series: Regional Collision,70204,1,145959,Ivory,Yangon Galacticos,Lifestealer|Storm Spirit|Gyrocopter|Snapfire|Beastmaster,Phoenix|Mars|Templar Assassin|Clockwerk|Earth Spirit,Ivory,32.72,Ivory,1.78,1.98
2024-11-24,Asian Dragon Series: Regional Collision,70203,2,145954,Yangon Galacticos,Caterpillar,Puck|Phoenix|Beastmaster|Dragon Knight|Muerta,Rubick|Magnus|Gyrocopter|Sand King|Ogre Magi,Yangon Galacticos,-18.06,Caterpillar,2.18,1.64
2024-11-24,Asian Dragon Series: Regional Collision,70202,1,145928,Team Essence,Caterpillar,Hoodwink|Underlord|Gyrocopter|Tusk|Sniper,Ursa|Beastmaster|Grimstroke|Dragon Knight|Lion,Team Essence,37.56,Team Essence,2.24,1.59
2024-11-25,Summoner's Cup,70272,1,146124,Fantasy Gaming,numa numa lei,Doom|Enchantress|Phoenix|Timbersaw|Templar Assassin,Tusk|Snapfire|Puck|Magnus|Dragon Knight,Fantasy Gaming,26.32,Fantasy Gaming,2.22,1.62
2024-11-25,European Pro League S21,70245,1,146066,Passion UA,Level Up,Dragon Knight|Puck|Timbersaw|Shadow Demon|Hoodwink,Alchemist|Undying|Riki|Magnus|Rubick,Passion UA,-17.95,Level Up,1.40,2.80
2024-11-25,European Pro League S21,70246,2,146093,9Pandas,Dragon Esports Club,Sand King|Alchemist|Storm Spirit|Dark Willow|Undying,Mars|Warlock|Pangolier|Dragon Knight|Hoodwink,9Pandas,30.23,9Pandas,1.45,2.64
2024-11-25,CCT Series 5,70239,2,146084,Passion UA,1win Team,Night Stalker|Tusk|Earth Spirit|Lion|Morphling,Invoker|Marci|Enigma|Lich|Magnus,Passion UA,-23.06,1win Team,3.41,1.29
2024-11-25,CCT Series 5,70239,3,146092,Passion UA,1win Team,Timbersaw|Hoodwink|Puck|Drow Ranger|Shadow Demon,Magnus|Beastmaster|Gyrocopter|Pugna|Void Spirit,1win Team,-15.95,1win Team,3.05,1.35
2024-11-25,CCT Series 5,70239,4,146098,Passion UA,1win Team,Timbersaw|Tiny|Alchemist|Muerta|Hoodwink,Pugna|Rubick|Magnus|Puck|Gyrocopter,1win Team,-15.08,1win Team,2.50,1.48
2024-11-25,European Pro League S21,70248,1,146067,Zero Tenacity,Hydra,Lycan|Terrorblade|Void Spirit|Clockwerk|Rubick,Lion|Tiny|Magnus|Templar Assassin|Ancient Apparition,Hydra,34.96,Zero Tenacity,1.53,2.29
2024-11-26,EPL World AM S14,70313,2,146211,FUSION,Lava Esports,Sand King|Earthshaker|Pugna|Rubick|Dragon Knight,Ember Spirit|Ogre Magi|Razor|Snapfire|Magnus,FUSION,-15.91,Lava Esports,1.28,3.44
2024-11-26,BLAST Slam I,70179,1,145862,PARIVISION,Xtreme Gaming,Morphling|Chen|Dawnbreaker|Tusk|Ember Spirit,Alchemist|Storm Spirit|Timbersaw|Clockwerk|Pugna,Xtreme Gaming,-15.17,Xtreme Gaming,1.63,2.19
2024-11-26,EPL World AM S14,70312,1,146198,WINTRADERs,Hokori,Shadow Demon|Beastmaster|Sand King|Underlord|Phoenix,Clockwerk|Snapfire|Terrorblade|Dragon Knight|Weaver,WINTRADERs,19.81,WINTRADERs,2.35,1.55
2024-11-26,EPL World AM S14,70312,2,146200,WINTRADERs,Hokori,Phoenix|Mars|Morphling|Lion|Monkey King,Marci|Dragon Knight|Batrider|Brewmaster|Queen of Pain,WINTRADERs,-17.07,Hokori,2.48,1.50
2024-11-26,BLAST Slam I,70171,1,145854,Team Falcons,PARIVISION,Rubick|Wraith King|Phoenix|Bristleback|Sand King,Techies|Lich|Drow Ranger|Magnus|Earth Spirit,Team Falcons,16.37,Team Falcons,1.46,2.56
2024-11-26,BLAST Slam I,70174,1,145857,OG,Gaimin Gladiators,Zeus|Hoodwink|Bristleback|Razor|Clockwerk,Drow Ranger|Batrider|Primal Beast|Chen|Viper,Gaimin Gladiators,-29.54,Gaimin Gladiators,2.34,1.55
2024-11-26,BLAST Slam I,70170,1,145853,Tundra Esports,Gaimin Gladiators,Phoenix|Lina|Morphling|Tidehunter|Shadow Demon,Snapfire|Magnus|Terrorblade|Batrider|Puck,Tundra Esports,18.47,Tundra Esports,1.85,1.85
2024-11-27,EPL World AM S14,70342,1,146311,FUSION,Fantasy Gaming,Alchemist|Clockwerk|Sand King|Phoenix|Underlord,Gyrocopter|Dark Willow|Tusk|Magnus|Storm Spirit,FUSION,15.74,FUSION,1.27,3.54
2024-11-28,BLAST Slam I,70357,2,146399,PARIVISION,Heroic,Terrorblade|Muerta|Storm Spirit|Pugna|Razor,Primal Beast|Slark|Enchantress|Batrider|Earth Spirit,PARIVISION,-15.79,Heroic,1.42,2.73
2024-11-28,BLAST Slam I,70357,3,146404,PARIVISION,Heroic,Terrorblade|Techies|Tiny|Pugna|Gyrocopter,Mars|Magnus|Muerta|Earth Spirit|Phoenix,PARIVISION,-23.33,Heroic,1.38,2.87
2024-11-29,BLAST Slam I,70404,1,146511,Xtreme Gaming,Gaimin Gladiators,Pugna|Primal Beast|Sand King|Muerta|Ursa,Invoker|Templar Assassin|Magnus|Terrorblade|Enchantress,Xtreme Gaming,15.61,Xtreme Gaming,1.93,1.81
2024-11-29,BLAST Slam I,70399,2,146504,Team Liquid,PARIVISION,Terrorblade|Doom|Pugna|Templar Assassin|Tiny,Razor|Chen|Earth Spirit|Muerta|Centaur Warrunner,PARIVISION,-16.54,PARIVISION,1.62,2.20
2024-11-30,BLAST Slam I,70440,1,146521,Tundra Esports,Xtreme Gaming,Elder Titan|Lina|Magnus|Brewmaster|Morphling,Beastmaster|Ursa|Zeus|Muerta|Naga Siren,Tundra Esports,-39.94,Xtreme Gaming,1.65,2.10
2024-11-30,BLAST Slam I,70440,2,146587,Tundra Esports,Xtreme Gaming,Dragon Knight|Magnus|Tidehunter|Batrider|Monkey King,Venomancer|Shadow Shaman|Enchantress|Timbersaw|Morphling,Tundra Esports,-25.52,Xtreme Gaming,1.52,2.43
